@relation Dry_bean

@attribute ﻿Area numeric
@attribute Perimeter numeric
@attribute MajorAxisLength numeric
@attribute MinorAxisLength numeric
@attribute AspectRation numeric
@attribute Eccentricity numeric
@attribute ConvexArea numeric
@attribute EquivDiameter numeric
@attribute Extent numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor3 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
28395,610.291,208.178117,173.888747,1.197191,0.549812,28715,190.141097,0.763923,0.988856,0.958027,0.913358,0.007332,0.003147,0.834222,0.998724,SEKER
28734,638.018,200.524796,182.734419,1.097356,0.411785,29172,191.272751,0.783968,0.984986,0.887034,0.953861,0.006979,0.003564,0.909851,0.99843,SEKER
29380,624.11,212.82613,175.931143,1.209713,0.562727,29690,193.410904,0.778113,0.989559,0.947849,0.908774,0.007244,0.003048,0.825871,0.999066,SEKER
30008,645.884,210.557999,182.516516,1.153638,0.498616,30724,195.467062,0.782681,0.976696,0.903936,0.928329,0.007017,0.003215,0.861794,0.994199,SEKER
30140,620.134,201.847882,190.279279,1.060798,0.33368,30417,195.896503,0.773098,0.990893,0.984877,0.970516,0.006697,0.003665,0.9419,0.999166,SEKER
30279,634.927,212.560556,181.510182,1.171067,0.520401,30600,196.347702,0.775688,0.98951,0.943852,0.923726,0.00702,0.003153,0.85327,0.999236,SEKER
30477,670.033,211.050155,184.03905,1.146768,0.489478,30970,196.988633,0.762402,0.984081,0.85308,0.933374,0.006925,0.003242,0.871186,0.999049,SEKER
30519,629.727,212.996755,182.737204,1.165591,0.51376,30847,197.12432,0.770682,0.989367,0.967109,0.92548,0.006979,0.003158,0.856514,0.998345,SEKER
30685,635.681,213.534145,183.157146,1.165852,0.514081,31044,197.659696,0.771561,0.988436,0.95424,0.925658,0.006959,0.003152,0.856844,0.998953,SEKER
30834,631.934,217.227813,180.897469,1.200834,0.553642,31120,198.139012,0.783683,0.99081,0.970278,0.912125,0.007045,0.003008,0.831973,0.999061,SEKER
30917,640.765,213.560089,184.439871,1.157885,0.504102,31280,198.405511,0.770805,0.988395,0.946258,0.929038,0.006908,0.003174,0.863112,0.999384,SEKER
31091,638.558,210.486255,188.326848,1.117665,0.446622,31458,198.963039,0.786377,0.988334,0.958173,0.945254,0.00677,0.003334,0.893506,0.99864,SEKER
31107,640.594,214.648549,184.969253,1.160455,0.507366,31423,199.014227,0.761046,0.989944,0.952582,0.927163,0.0069,0.003145,0.859632,0.997564,SEKER
31158,642.626,216.484836,183.644312,1.178827,0.529514,31492,199.177302,0.798759,0.989394,0.948119,0.920052,0.006948,0.003071,0.846496,0.997872,SEKER
31158,641.105,212.066975,187.19296,1.132879,0.469924,31474,199.177302,0.781313,0.98996,0.952623,0.939219,0.006806,0.003267,0.882132,0.999349,SEKER
31178,636.888,212.975925,186.562088,1.141582,0.482352,31520,199.241217,0.76411,0.98915,0.9659,0.935511,0.006831,0.003227,0.87518,0.99909,SEKER
31202,644.454,215.640695,184.471684,1.168964,0.517871,31573,199.317888,0.779193,0.988249,0.944079,0.924306,0.006911,0.003112,0.854341,0.998693,SEKER
31203,639.782,215.067737,184.874876,1.163315,0.510947,31558,199.321081,0.762984,0.988751,0.957949,0.926783,0.006893,0.003137,0.858926,0.999202,SEKER
31272,638.666,212.450319,187.535939,1.132851,0.469883,31593,199.541342,0.770322,0.98984,0.963425,0.939238,0.006794,0.003261,0.882167,0.999364,SEKER
31335,635.011,216.790092,184.16344,1.177161,0.527587,31599,199.742237,0.774277,0.991645,0.976511,0.921362,0.006918,0.003075,0.848909,0.999302,SEKER
31374,636.401,219.865394,182.008864,1.207993,0.560995,31604,199.866499,0.769197,0.992722,0.97346,0.90904,0.007008,0.002952,0.826354,0.99823,SEKER
31530,638.857,213.785654,188.066482,1.136756,0.475536,31791,200.362778,0.768949,0.99179,0.970793,0.937213,0.00678,0.003227,0.878369,0.998491,SEKER
31573,674.103,217.307026,185.448251,1.171793,0.521268,32197,200.499357,0.756965,0.980619,0.873119,0.922655,0.006883,0.003077,0.851292,0.997538,SEKER
31637,656.711,229.719255,175.510446,1.308864,0.645191,32045,200.702465,0.761823,0.987268,0.921842,0.873686,0.007261,0.00261,0.763327,0.999091,SEKER
31675,657.431,236.752632,171.210559,1.382816,0.690678,32009,200.822963,0.740936,0.989565,0.920929,0.84824,0.007474,0.002387,0.71951,0.99495,SEKER
31682,646.721,210.045682,192.248416,1.092574,0.402842,32026,200.845152,0.773184,0.989259,0.951894,0.956197,0.00663,0.003419,0.914314,0.998956,SEKER
31703,656.305,215.708907,187.27245,1.151845,0.496263,32093,200.911705,0.777111,0.987848,0.924909,0.931402,0.006804,0.003159,0.86751,0.999237,SEKER
31748,641.826,219.776518,184.115105,1.193691,0.546073,32020,201.054244,0.77559,0.991505,0.968482,0.914812,0.006923,0.002991,0.836881,0.998978,SEKER
31768,650.954,220.959495,183.292068,1.205505,0.558465,32173,201.117562,0.777674,0.987412,0.942105,0.910201,0.006955,0.002945,0.828466,0.99872,SEKER
31811,642.092,223.984683,180.917123,1.238051,0.589565,32052,201.253629,0.773877,0.992481,0.9696,0.898515,0.007041,0.002831,0.807329,0.999515,SEKER
31821,649.681,213.735645,189.969202,1.125107,0.458287,32168,201.285259,0.772354,0.989213,0.947378,0.941749,0.006717,0.003259,0.886891,0.997847,SEKER
31823,662.532,222.872689,181.894696,1.225284,0.577858,32274,201.291585,0.774848,0.986026,0.91104,0.903168,0.007004,0.002875,0.815713,0.999481,SEKER
31837,656.404,224.912554,180.439422,1.246471,0.596968,32238,201.335857,0.785246,0.987561,0.928538,0.895174,0.007065,0.002798,0.801336,0.998843,SEKER
31915,640.718,216.320361,188.065307,1.150241,0.494138,32184,201.582341,0.777656,0.991642,0.976947,0.931869,0.006778,0.003153,0.868381,0.998847,SEKER
31972,639.974,213.68748,190.644947,1.120866,0.451705,32246,201.762273,0.772271,0.991503,0.980968,0.944193,0.006684,0.003277,0.891501,0.999253,SEKER
31992,640.338,212.887364,191.487254,1.111757,0.436968,32258,201.825369,0.774212,0.991754,0.980466,0.948038,0.006654,0.003316,0.898777,0.999221,SEKER
31994,654.535,212.171396,192.422532,1.102633,0.421302,32391,201.831677,0.789741,0.987744,0.938453,0.951267,0.006632,0.00335,0.904909,0.997783,SEKER
32015,653.676,212.929989,191.810135,1.110108,0.434207,32375,201.897905,0.761881,0.98888,0.941539,0.948189,0.006651,0.003316,0.899063,0.998057,SEKER
32026,654.237,230.979067,176.931808,1.305469,0.642831,32349,201.932587,0.779449,0.990015,0.940248,0.874246,0.007212,0.002599,0.764307,0.997779,SEKER
32038,645.085,224.482321,181.940867,1.23382,0.585751,32308,201.970415,0.770515,0.991643,0.967479,0.899716,0.007007,0.002832,0.80949,0.998765,SEKER
32044,652.651,216.147147,188.97054,1.143814,0.485444,32395,201.989326,0.778069,0.989165,0.945354,0.934499,0.006745,0.003173,0.873289,0.99888,SEKER
32057,642.082,215.918285,189.303387,1.140594,0.480971,32301,202.030295,0.779805,0.992446,0.977129,0.935679,0.006735,0.003185,0.875496,0.998585,SEKER
32066,669.313,236.436655,173.230899,1.364864,0.68058,32481,202.058653,0.780879,0.987223,0.89949,0.8546,0.007373,0.002426,0.73034,0.996815,SEKER
32109,663.582,224.472352,182.364496,1.230899,0.583081,32567,202.194086,0.767625,0.985937,0.916321,0.900753,0.006991,0.002839,0.811355,0.998697,SEKER
32114,648.566,222.657507,183.829036,1.211221,0.564236,32393,202.209828,0.760671,0.991387,0.959392,0.908165,0.006933,0.002909,0.824764,0.998971,SEKER
32167,654.893,217.960517,188.204716,1.158103,0.504382,32521,202.37662,0.760593,0.989115,0.942496,0.928501,0.006776,0.003107,0.862115,0.998418,SEKER
32213,658.216,221.481114,185.295432,1.195286,0.547784,32585,202.521272,0.762907,0.988584,0.934338,0.914395,0.006876,0.002965,0.836119,0.999401,SEKER
32218,653.595,222.756071,184.404684,1.207974,0.560976,32566,202.536988,0.754432,0.989314,0.947744,0.909232,0.006914,0.002915,0.826703,0.998636,SEKER
32233,665.493,221.233684,185.592373,1.192041,0.54429,32710,202.584131,0.775204,0.985417,0.914584,0.915702,0.006864,0.002977,0.83851,0.999538,SEKER
32251,644.051,220.980963,186.027783,1.187892,0.539747,32514,202.640688,0.764061,0.991911,0.97704,0.917005,0.006852,0.002989,0.840899,0.998897,SEKER
32258,654.808,220.80403,186.277756,1.185348,0.536919,32612,202.662678,0.775806,0.989145,0.945408,0.91784,0.006845,0.002997,0.842429,0.998572,SEKER
32262,652.419,222.698656,184.512993,1.206954,0.559942,32563,202.675243,0.781314,0.990756,0.952463,0.910087,0.006903,0.002921,0.828259,0.99967,SEKER
32279,646.556,218.181604,188.553142,1.157136,0.503144,32623,202.728634,0.790184,0.989455,0.970326,0.929174,0.006759,0.003108,0.863364,0.999029,SEKER
32323,649.59,217.371457,189.591319,1.146526,0.48915,32615,202.866759,0.784844,0.991047,0.962593,0.933272,0.006725,0.003147,0.870997,0.998621,SEKER
32338,653.602,221.411341,186.136273,1.189512,0.541531,32672,202.913825,0.782491,0.989777,0.951254,0.916456,0.006847,0.002979,0.839892,0.999062,SEKER
32355,657.166,221.279621,186.36041,1.187375,0.539174,32720,202.967154,0.783794,0.988845,0.941458,0.917243,0.006839,0.002986,0.841334,0.998979,SEKER
32368,675.385,221.658065,186.176229,1.190582,0.542702,32806,203.007925,0.759099,0.986649,0.891709,0.915861,0.006848,0.002972,0.838801,0.998661,SEKER
32376,643.009,219.130014,188.300427,1.163726,0.511457,32608,203.033011,0.784302,0.992885,0.984009,0.926541,0.006768,0.003077,0.858479,0.999034,SEKER
32433,653.76,219.836697,188.009237,1.169287,0.518261,32775,203.211658,0.76932,0.989565,0.953587,0.924376,0.006778,0.003053,0.85447,0.99912,SEKER
32465,653.85,225.202449,183.692095,1.225978,0.57851,32767,203.311883,0.765034,0.990783,0.954265,0.902796,0.006937,0.002842,0.815041,0.999222,SEKER
32514,649.012,221.44549,187.134423,1.18335,0.534674,32843,203.465256,0.784983,0.989983,0.970007,0.918805,0.006811,0.002994,0.844203,0.998987,SEKER
32518,651.651,221.262785,187.256111,1.181605,0.532696,32811,203.477772,0.758915,0.99107,0.962285,0.91962,0.006804,0.003002,0.845702,0.999285,SEKER
32518,655.131,220.821199,187.665586,1.176674,0.52702,32842,203.477772,0.794032,0.990135,0.952089,0.921459,0.006791,0.00302,0.849087,0.999099,SEKER
32525,663.914,225.077856,184.214734,1.221823,0.574579,33000,203.499671,0.769058,0.985606,0.927264,0.90413,0.00692,0.002852,0.817451,0.998781,SEKER
32578,657.571,227.037574,182.842306,1.241712,0.592814,32901,203.665407,0.781922,0.990183,0.94678,0.897056,0.006969,0.002784,0.804709,0.999218,SEKER
32581,649.583,224.424178,184.923471,1.213606,0.566603,32851,203.674784,0.772062,0.991781,0.970298,0.907544,0.006888,0.002882,0.823636,0.999569,SEKER
32615,664.789,218.146746,191.002277,1.142116,0.483095,33016,203.781029,0.808563,0.987854,0.927384,0.934147,0.006689,0.003142,0.87263,0.996644,SEKER
32622,657.009,235.27087,177.158189,1.328027,0.658024,32902,203.802896,0.779312,0.99149,0.949681,0.866248,0.007212,0.002505,0.750385,0.996532,SEKER
32698,653.049,225.014191,185.143724,1.215349,0.568318,32994,204.040159,0.767685,0.991029,0.963473,0.906788,0.006882,0.00287,0.822264,0.999338,SEKER
32705,654.454,223.875867,186.14993,1.202664,0.555544,33021,204.061999,0.77947,0.99043,0.959546,0.911496,0.006845,0.002915,0.830825,0.999204,SEKER
32713,660.043,215.416321,193.486462,1.113341,0.439592,33020,204.086955,0.799516,0.990703,0.943595,0.947407,0.006585,0.003273,0.89758,0.999312,SEKER
32729,656.679,214.265721,194.793825,1.099962,0.416528,33066,204.136859,0.769153,0.989808,0.953754,0.952728,0.006547,0.003327,0.90769,0.998424,SEKER
32774,660.614,222.870051,187.479248,1.188772,0.540717,33120,204.277147,0.790154,0.989553,0.943721,0.916575,0.0068,0.002961,0.84011,0.998699,SEKER
32775,649.807,220.0251,189.809404,1.15919,0.505764,33062,204.280264,0.772631,0.991319,0.975402,0.928441,0.006713,0.003077,0.862002,0.999224,SEKER
32795,651.03,225.210252,185.600231,1.213416,0.566416,33091,204.342582,0.775993,0.991055,0.972334,0.907341,0.006867,0.002871,0.823268,0.998967,SEKER
32796,654.824,223.145369,187.419262,1.190621,0.542745,33111,204.345698,0.80082,0.990487,0.961129,0.915751,0.006804,0.002952,0.838601,0.998456,SEKER
32799,653.729,219.905549,190.11234,1.156714,0.502602,33087,204.355044,0.746178,0.991296,0.964439,0.929286,0.006705,0.003084,0.863572,0.998905,SEKER
32829,658.101,221.5995,189.002627,1.172468,0.522071,33154,204.44848,0.789785,0.990197,0.952538,0.922604,0.00675,0.003017,0.851197,0.998001,SEKER
32836,669.19,218.406004,191.758773,1.138962,0.478675,33225,204.470276,0.802915,0.988292,0.921428,0.936193,0.006651,0.003152,0.876458,0.998253,SEKER
32849,664.105,230.722308,181.743685,1.269493,0.616038,33245,204.510747,0.746568,0.988088,0.935963,0.886393,0.007024,0.002675,0.785693,0.997432,SEKER
32870,655.512,220.358163,190.02066,1.159654,0.506353,33198,204.576108,0.781243,0.99012,0.961276,0.92838,0.006704,0.003072,0.861889,0.999493,SEKER
32885,659.728,227.067404,184.559693,1.23032,0.582547,33225,204.622781,0.78567,0.989767,0.949463,0.901154,0.006905,0.002809,0.812079,0.999117,SEKER
32920,671.612,219.093134,191.462212,1.144315,0.486133,33376,204.731643,0.777975,0.986337,0.917134,0.93445,0.006655,0.00313,0.873197,0.999213,SEKER
32925,656.646,225.12817,186.461528,1.207371,0.560365,33252,204.74719,0.768683,0.990166,0.959562,0.909469,0.006838,0.002886,0.827135,0.998658,SEKER
32934,668.197,221.408731,189.601811,1.167756,0.516408,33401,204.775172,0.776709,0.986018,0.926927,0.924874,0.006723,0.003034,0.855392,0.998889,SEKER
