@relation Sim_Y1

@attribute Z1 numeric
@attribute Z2 numeric
@attribute Z3 numeric
@attribute Z4 numeric
@attribute Z5 numeric
@attribute Z6 numeric
@attribute Z7 numeric
@attribute Y1 numeric

@data
2.004225,0.946832,-0.917361,0.280178,0.994526,2.09721,0.121875,0
0.74582,0.541331,0.51659,1.83997,0.737072,-0.531557,0.798919,1
1.605927,0.194731,-0.764419,-0.895689,0.452178,-0.042942,0.512281,0
1.332438,0.175153,0.569824,0.59179,0.706942,0.281639,0.433297,0
1.587239,0.95212,0.751759,1.812203,0.781894,0.056065,0.69014,1
0.902623,0.494086,-0.590771,-0.233407,0.76762,1.22639,1.028077,0
1.412531,0.11129,0.564918,0.81047,0.663609,-0.041206,0.595598,0
1.196472,0.276962,0.079643,0.635948,0.744519,0.659962,0.603229,0
2.17299,-0.470683,-0.15338,-1.206485,-1.111,-0.978861,0.27924,0
1.652662,0.330356,0.874242,1.352455,0.727135,-0.564593,0.988653,0
2.673863,1.208234,0.86942,1.705156,0.723006,0.325367,0.133285,1
1.234756,1.06498,0.992684,2.083543,0.705607,0.49073,0.061169,0
1.22963,0.093595,0.443385,0.69198,0.656621,-0.009048,0.64893,0
0.93411,0.186445,-0.342664,-0.699366,1.046306,0.643123,1.062923,0
1.290247,0.531502,0.632841,1.695691,0.283684,-0.911034,0.676377,0
1.075686,0.234642,0.292875,0.481623,1.093822,0.71632,0.590331,0
1.365623,0.200594,0.4793,1.031712,0.760762,-0.524903,1.086946,1
0.319821,0.742508,0.663589,1.949275,0.724728,-0.135968,1.137675,0
3.487089,1.351541,0.937336,1.548794,0.679436,0.455333,0.426284,1
1.643878,-0.451181,-0.098026,-0.781994,-0.945348,-0.887993,0.444151,0
1.481478,0.443199,0.171056,0.502981,0.744771,1.056921,0.17109,0
1.65929,0.326912,0.783783,1.517754,0.34401,-0.20334,0.567108,0
1.419085,0.272177,0.410389,0.745973,1.111732,0.758772,0.600498,0
1.8522,-0.135798,-0.467973,-1.410334,-0.58511,-0.635126,0.448685,0
1.721494,0.628571,0.937862,1.338892,0.655371,-0.803014,1.109989,1
